中文名,标准缩写,去掉空格的缩写,全名,全名，把逗号换成了空格,专长类群,工作单位,姓,名
【空】,Pass.,Pass.,"Passerini, Giovanni",Passerini Giovanni,MPS,,Passerini,Giovanni
【空】,Gibelli,Gibelli,"Gibelli, Giuseppe",Gibelli Giuseppe,MPS,,Gibelli,Giuseppe
【空】,Tilloch,Tilloch,Tilloch,Tilloch,S,,Tilloch,
【空】,Dar,Dar,"Dar, G. H.",Dar G. H.,S,,Dar,G. H.
【空】,Greewell,Greewell,,,,,,
【空】,Cusset,Cusset,,,,,,
【空】,Cavara,Cavara,"Cavara, Fridiano",Cavara Fridiano,MS,,Cavara,Fridiano
【空】,L. C. Leach,L.C.Leach,"Leach, Leslie ('Larry') Charles",Leach Leslie ('Larry') Charles,S,,Leach,Leslie ('Larry') Charles
【空】,Den Ouden,DenOuden,,,,,,
【空】,Tien Ban,TienBan,,,,,,
【空】,S. Biswas,S.Biswas,,,,,,
【空】,R. Donk.,R.Donk.,,,,,,
【空】,Iljin,Iljin,"Iljin, Modest Mikhaǐlovich",Iljin Modest Mikhaǐlovich,PS,,Iljin,Modest Mikhaǐlovich
【空】,Hedd.,Hedd.,"Hedderson, Terry Albert John",Hedderson Terry Albert John,B,,Hedderson,Terry Albert John
【空】,Kralik,Kralik,"Kralik, Jean-Louis",Kralik Jean-Louis,S,,Kralik,Jean-Louis
【空】,Anghel,Anghel,"Anghel, Gheorghe",Anghel Gheorghe,S,,Anghel,Gheorghe
【空】,Durand,Durand,"Durand, Elias (Elie) Magloire",Durand Elias (Elie) Magloire,BS,,Durand,Elias (Elie) Magloire
【空】,Belo-Corr.,Belo-Corr.,"Belo-Correia, A. L.",Belo-Correia A. L.,S,,Belo-Correia,A. L.
【空】,Belval,Belval,"Belval, Henri",Belval Henri,S,,Belval,Henri
【空】,Benj.,Benj.,"Benjamin, Ludwig",Benjamin Ludwig,S,,Benjamin,Ludwig
【空】,Benn.,Benn.,"Bennett, John (Johannes) Joseph",Bennett John (Johannes) Joseph,PS,,Bennett,John (Johannes) Joseph
【空】,Bennet,Bennet,"Bennet, S. S. R.",Bennet S. S. R.,S,,Bennet,S. S. R.
【空】,Benoist,Benoist,"Benoist, Raymond",Benoist Raymond,S,,Benoist,Raymond
【空】,Benth.,Benth.,"Bentham, George",Bentham George,MPS,,Bentham,George
【空】,Bentv.,Bentv.,"Bentvelzen, P. A. J.",Bentvelzen P. A. J.,S,,Bentvelzen,P. A. J.
【空】,Bercht.,Bercht.,"Berchtold, Beddricha (Friedrich) Wssemjra von",Berchtold Beddricha (Friedrich) Wssemjra von,PS,,Berchtold,Beddricha (Friedrich) Wssemjra von
【空】,Berg,Berg,"Berg, Ernst von",Berg Ernst von,S,,Berg,Ernst von
【空】,Berger,Berger,"Berger, Ernst Friedrich",Berger Ernst Friedrich,S,,Berger,Ernst Friedrich
【空】,P. J. Bergius,P.J.Bergius,"Bergius, Peter Jonas",Bergius Peter Jonas,PS,,Bergius,Peter Jonas
【空】,Berland.,Berland.,"Berlandier, Jean Louis",Berlandier Jean Louis,S,,Berlandier,Jean Louis
【空】,Bernh.,Bernh.,"Bernhardi, Johann Jokob",Bernhardi Johann Jokob,BMPS,,Bernhardi,Johann Jokob
【空】,Bertol.,Bertol.,"Bertoloni, Antonio",Bertoloni Antonio,ABMPS,,Bertoloni,Antonio
【空】,Bertoni,Bertoni,"Bertoni, Moisés de Santiago",Bertoni Moisés de Santiago,S,,Bertoni,Moisés de Santiago
【空】,Bertrand,Bertrand,"Bertrand, Marcel C.",Bertrand Marcel C.,S,,Bertrand,Marcel C.
【空】,Besser,Besser,"Besser, Wilibald Swibert Joseph Gottlieb von",Besser Wilibald Swibert Joseph Gottlieb von,S,,Besser,Wilibald Swibert Joseph Gottlieb von
【空】,Beurl.,Beurl.,"Beurling, Pehr Jahan",Beurling Pehr Jahan,S,,Beurling,Pehr Jahan
