中文名,标准缩写,去掉空格的缩写,全名,全名，把逗号换成了空格,专长类群,工作单位,姓,名
【空】,C. Norman,C.Norman,"Norman, Cecil",Norman Cecil,S,,Norman,Cecil
【空】,F. Dietr.,F.Dietr.,"Dietrich, Friedrich Gouttlieb",Dietrich Friedrich Gouttlieb,S,,Dietrich,Friedrich Gouttlieb
【空】,F. Herm.,F.Herm.,"Hermann, Friedrich",Hermann Friedrich,S,,Hermann,Friedrich
【空】,F. Heyne,F.Heyne,"Heyne, Friedrich Adolf",Heyne Friedrich Adolf,S,,Heyne,Friedrich Adolf
【空】,F. Konta,F.Konta,,,,,,
【空】,F. Nyl.,F.Nyl.,"Nylander, Fredrik (Frederick)",Nylander Fredrik (Frederick),MPS,,Nylander,Fredrik (Frederick)
【空】,F. A. Barkley,F.A.Barkley,"Barkley, Fred Alexander",Barkley Fred Alexander,S,,Barkley,Fred Alexander
【空】,F. G. Davies,F.G.Davies,"Davies, Frances G.",Davies Frances G.,S,,Davies,Frances G.
【空】,F. G. Mey.,F.G.Mey.,"Meyer, Frederick Gustav",Meyer Frederick Gustav,S,,Meyer,Frederick Gustav
【空】,F. H. Wigg.,F.H.Wigg.,"Wiggers, Friedrich Heinrich (Fridrich Hindrich)",Wiggers Friedrich Heinrich (Fridrich Hindrich),AMS,,Wiggers,Friedrich Heinrich (Fridrich Hindrich)
【空】,F. J. Herm.,F.J.Herm.,"Hermann, Frederick Joseph",Hermann Frederick Joseph,BS,,Hermann,Frederick Joseph
【空】,F. L. Freeman,F.L.Freeman,"Freeman, Florence Lucinda (later Jones, F. L.)",Freeman Florence Lucinda (later Jones F. L.),S,,Freeman,Florence Lucinda (later Jones，F. L.)
【空】,F. M. Bailey,F.M.Bailey,"Bailey, Frederick Manson",Bailey Frederick Manson,BMPS,,Bailey,Frederick Manson
【空】,F. M. Jarrett,F.M.Jarrett,"Jarrett, Frances Mary",Jarrett Frances Mary,P,,Jarrett,Frances Mary
【空】,F. N. Meijer,F.N.Meijer,"Meijer, Frans Nicholaas",Meijer Frans Nicholaas,S,,Meijer,Frans Nicholaas
【空】,F. P. Metcalf,F.P.Metcalf,"Metcalf, Franklin Post",Metcalf Franklin Post,S,,Metcalf,Franklin Post
【空】,F. V. Muell.,F.V.Muell.,,,,,,
【空】,F. W. Schmidt,F.W.Schmidt,"Schmidt, Franz Wilibald",Schmidt Franz Wilibald,S,,Schmidt,Franz Wilibald
【空】,F. W. Schultz,F.W.Schultz,"Schultz, Friedrich Whilhelm",Schultz Friedrich Whilhelm,PS,,Schultz,Friedrich Whilhelm
【空】,F. W. Weiss,F.W.Weiss,"Weis, Friedrich Wilhelm G.",Weis Friedrich Wilhelm G.,ABMPS,,Weis,Friedrich Wilhelm G.
【空】,Domin,Domin,"Domin, Karel",Domin Karel,PS,,Domin,Karel
【空】,Domke,Domke,"Domke, Friedrich Walter",Domke Friedrich Walter,S,,Domke,Friedrich Walter
【空】,Donn,Donn,"Donn, James",Donn James,S,,Donn,James
【空】,Dop,Dop,"Dop, Paul Louis Amans",Dop Paul Louis Amans,S,,Dop,Paul Louis Amans
【空】,Dostál,Dostál,"Dostál, Josef",Dostál Josef,PS,,Dostál,Josef
【空】,Downie,Downie,"Downie, Dorothy G.",Downie Dorothy G.,S,,Downie,Dorothy G.
【空】,Downs,Downs,"Downs, Robert Jack",Downs Robert Jack,S,,Downs,Robert Jack
【空】,Drake,Drake,"Drake del Castillo, Emmanuel",Drake del Castillo Emmanuel,PS,,Drake del Castillo,Emmanuel
【空】,Drejer,Drejer,"Drejer, Solomon (Salomon) Thomas Nicolai",Drejer Solomon (Salomon) Thomas Nicolai,S,,Drejer,Solomon (Salomon) Thomas Nicolai
【空】,Botschantz.,Botschantz.,"Botschantzeva, Zinaida Petrovna",Botschantzeva Zinaida Petrovna,S,,Botschantzeva,Zinaida Petrovna
【空】,Druce,Druce,"Druce, George Clardge",Druce George Clardge,PS,,Druce,George Clardge
【空】,Drude,Drude,"Drude, Carl Georg Oscar",Drude Carl Georg Oscar,S,,Drude,Carl Georg Oscar
【空】,J. R. Drumm.,J.R.Drumm.,"Drummond, James Ramsay",Drummond James Ramsay,S,,Drummond,James Ramsay
【空】,Dryand.,Dryand.,"Dryander, Jonas Carlsson",Dryander Jonas Carlsson,PS,,Dryander,Jonas Carlsson
【空】,Du Puy,DuPuy,"Du Puy, David J.",Du Puy David J.,S,,Du Puy,David J.
【空】,Du Tour,DuTour,Du Tour de Salvert,Du Tour de Salvert,S,,Du Tour de Salvert,
【空】,Dubard,Dubard,"Dubard, Marcel Maurice",Dubard Marcel Maurice,S,,Dubard,Marcel Maurice
【空】,Duby,Duby,"Duby, Jean étienne",Duby Jean étienne,ABMPS,,Duby,Jean étienne
【空】,Duchesne,Duchesne,"Duchesne, Antoine Nicolas",Duchesne Antoine Nicolas,S,,Duchesne,Antoine Nicolas
【空】,Duch.,Duch.,"Duchartre, Pierre étienne Simon",Duchartre Pierre étienne Simon,S,,Duchartre,Pierre étienne Simon
【空】,Duhamel,Duhamel,"Duhamel du Monceau, Henri Louis",Duhamel du Monceau Henri Louis,S,,Duhamel du Monceau,Henri Louis
【空】,Dulac,Dulac,"Dulac, Joseph",Dulac Joseph,PS,,Dulac,Joseph
【空】,Dum. Cours.,Dum.Cours.,"Dumont Courset, George(s) Louis Marie",Dumont Courset George(s) Louis Marie,S,,Dumont Courset,George(s) Louis Marie
【空】,Dummer,Dummer,"Dümmer, Richard Arnold",Dümmer Richard Arnold,S,,Dümmer,Richard Arnold
【空】,Dumort.,Dumort.,"Dumortier, Barthélemy, Charles Joseph",Dumortier Barthélemy Charles Joseph,ABMS,,Dumortier,Barthélemy，Charles Joseph
【空】,Dunal,Dunal,"Dunal, Michel Félix",Dunal Michel Félix,ABPS,,Dunal,Michel Félix
【空】,Dunn,Dunn,"Dunn, Stephen Troyte",Dunn Stephen Troyte,PS,,Dunn,Stephen Troyte
【空】,Dur.,Dur.,,,,,,
【空】,T. Durand,T.Durand,"Durand, Théophile Alexis",Durand Théophile Alexis,BPS,,Durand,Théophile Alexis
【空】,Durazz.,Durazz.,"Durazzini, Antonio",Durazzini Antonio,S,,Durazzini,Antonio
【空】,B. R. Baum,B.R.Baum,"Baum, Bernard René",Baum Bernard René,S,,Baum,Bernard René
【空】,B. S. Williams,B.S.Williams,"Williams, Benjamin Samuel",Williams Benjamin Samuel,S,,Williams,Benjamin Samuel
,B. W. Liu,B.W.Liu,"Liu, B. W.",Liu B. W.,S,,Liu,B. W.
【空】,Bab.,Bab.,"Babington, Charles Cardale",Babington Charles Cardale,AMPS,,Babington,Charles Cardale
【空】,Babc.,Babc.,Babcock. Ernest Brown,Babcock. Ernest Brown,S,,Babcock. Ernest Brown,
【空】,Babu,Babu,"Babu, Cherukuri Raghavendra",Babu Cherukuri Raghavendra,S,,Babu,Cherukuri Raghavendra
【空】,Backer.,Backer.,"Backer, Cornelis Andries B.",Backer Cornelis Andries B.,PS,,Backer,Cornelis Andries B.
【空】,Baehni,Baehni,"Baehni, Charles",Baehni Charles,BS,,Baehni,Charles
【空】,Bahadur,Bahadur,"Bahadur, Kunwar Naresh",Bahadur Kunwar Naresh,S,,Bahadur,Kunwar Naresh
【空】,Baill.,Baill.,"Baillon, Henri Ernest",Baillon Henri Ernest,BMPS,,Baillon,Henri Ernest
【空】,Bailly,Bailly,"Bailly, émile",Bailly émile,S,,Bailly,émile
【空】,Baker f.,Bakerf.,"Backer, Edmund Gilbert",Backer Edmund Gilbert,PS,,Backer,Edmund Gilbert
【空】,Baker,Baker,"Baker, John Gilbert",Baker John Gilbert,MPS,,Baker,John Gilbert
【空】,Bakh.,Bakh.,"Bakhuizen van den Brink, Reinier Cornelis",Bakhuizen van den Brink Reinier Cornelis,S,,Bakhuizen van den Brink,Reinier Cornelis
【空】,Bakh. f.,Bakh.f.,"Bakhuizen van den Brink, Reinier Cornelis",Bakhuizen van den Brink Reinier Cornelis,S,,Bakhuizen van den Brink,Reinier Cornelis
【空】,N. P. Balakr.,N.P.Balakr.,"Balakrishnan, Nambiyath Puthansurayil",Balakrishnan Nambiyath Puthansurayil,PS,,Balakrishnan,Nambiyath Puthansurayil
【空】,Balansa,Balansa,"Balansa, Benedict (Benjamin)",Balansa Benedict (Benjamin),MS,,Balansa,Benedict (Benjamin)
【空】,Balb.,Balb.,"Balbis, Gioanni (Giovanni) Battista",Balbis Gioanni (Giovanni) Battista,BMPS,,Balbis,Gioanni (Giovanni) Battista
【空】,Balf.f.,Balf.f.,"Balfour, Isaac Bayley",Balfour Isaac Bayley,PS,,Balfour,Isaac Bayley
【空】,Ballard,Ballard,"Ballard, Ernest",Ballard Ernest,S,,Ballard,Ernest
,Ban,Ban,"Ban, Nguyên Tiên",Ban Nguyên Tiên,S,,Ban,Nguyên Tiên
【空】,Banerjee,Banerjee,,,,,,
【空】,Banks,Banks,"Banks, Joseph",Banks Joseph,S,,Banks,Joseph
【空】,Jenman,Jenman,"Jenman, George Samuel",Jenman George Samuel,PS,,Jenman,George Samuel
【空】,Jermy,Jermy,"Jermy, Anthony Clive",Jermy Anthony Clive,MPS,,Jermy,Anthony Clive
【空】,Jess.,Jess.,"Jessen, Karl Friedrich Wilhelm",Jessen Karl Friedrich Wilhelm,A,,Jessen,Karl Friedrich Wilhelm
【空】,Jesson,Jesson,"Jesson, E. M.",Jesson E. M.,S,,Jesson,E. M.
【空】,Jessop,Jessop,"Jessop, John Peter",Jessop John Peter,PS,,Jessop,John Peter
【空】,Jeswiet,Jeswiet,"Jeswiet, Jacob",Jeswiet Jacob,S,,Jeswiet,Jacob
,Jia R. Xue,JiaR.Xue,"Xue, Jia Rong",Xue Jia Rong,S,,Xue,Jia Rong
【空】,Jord.,Jord.,"Jordan, Claude Thomas Alexis",Jordan Claude Thomas Alexis,S,,Jordan,Claude Thomas Alexis
【空】,Judd,Judd,"Judd, Walter Stephen",Judd Walter Stephen,S,,Judd,Walter Stephen
【空】,Juel,Juel,"Juel, Hans Oscar",Juel Hans Oscar,BMS,,Juel,Hans Oscar
【空】,Jum.,Jum.,"Jumelle, Henri Lucien",Jumelle Henri Lucien,S,,Jumelle,Henri Lucien
【空】,Junell,Junell,"Junell, Sven Albert Brynolt",Junell Sven Albert Brynolt,AS,,Junell,Sven Albert Brynolt
【空】,Jungh.,Jungh.,"Junghuhn, (Fredrich) Franz Wilhelm",Junghuhn (Fredrich) Franz Wilhelm,BMPS,,Junghuhn,(Fredrich) Franz Wilhelm
【空】,Junussov,Junussov,"Junussov, S. Ju",Junussov S. Ju,S,,Junussov,S. Ju
【空】,Jurtzev,Jurtzev,"Jurtzev, B. A.",Jurtzev B. A.,S,,Jurtzev,B. A.
【空】,Juss.,Juss.,"Jussieu, Antoine Laurent de",Jussieu Antoine Laurent de,BMPS,,Jussieu,Antoine Laurent de
【空】,Juz.,Juz.,"Juzepczuk, Sergei Vasilievich",Juzepczuk Sergei Vasilievich,S,,Juzepczuk,Sergei Vasilievich
【空】,K. Bremer,K.Bremer,"Bremer, K?re (Kaare)",Bremer K?re (Kaare),AS,,Bremer,K?re (Kaare)
【空】,K. Heyne,K.Heyne,"Heyne, Karel",Heyne Karel,S,,Heyne,Karel
【空】,K. Hoffm.,K.Hoffm.,"Hoffmann, K?the (Kaethe)",Hoffmann K?the (Kaethe),S,,Hoffmann,K?the (Kaethe)
【空】,K. Iwats.,K.Iwats.,"Iwatsuki, Kunio",Iwatsuki Kunio,PS,,Iwatsuki,Kunio
【空】,K. Krause,K.Krause,"Krause, Kurt",Krause Kurt,S,,Krause,Kurt
【空】,K. Larsen,K.Larsen,"Larsen, Kai",Larsen Kai,S,,Larsen,Kai
【空】,K. Mori,K.Mori,"Mori, Kunihiko",Mori Kunihiko,S,,Mori,Kunihiko
【空】,K. Richt.,K.Richt.,"Richter, Karl (Carl)",Richter Karl (Carl),S,,Richter,Karl (Carl)
【空】,Martinovsky,Martinovsky,"Martinovsky, Jan Otakar",Martinovsky Jan Otakar,S,,Martinovsky,Jan Otakar
【空】,Martyn,Martyn,"Martyn, Thomas",Martyn Thomas,S,,Martyn,Thomas
【空】,Masam.,Masam.,"Masamune, Genkei",Masamune Genkei,PS,,Masamune,Genkei
【空】,Mason,Mason,"Mason, Francis",Mason Francis,S,,Mason,Francis
【空】,Masson,Masson,"Masson, Francis",Masson Francis,S,,Masson,Francis
【空】,Mast.,Mast.,"Masters, Maxwell Tylden",Masters Maxwell Tylden,PS,,Masters,Maxwell Tylden
【空】,Matsuda,Matsuda,"Matsuda, Sadahisa",Matsuda Sadahisa,PS,,Matsuda,Sadahisa
【空】,Matsum.,Matsum.,"Matsumura, Jinz?",Matsumura Jinz?,BPS,,Matsumura,Jinz?
【空】,Matsumae,Matsumae,"Matsumae, A.",Matsumae A.,M,,Matsumae,A.
【空】,Mattf.,Mattf.,"Mattfeld, Johannes",Mattfeld Johannes,S,,Mattfeld,Johannes
【空】,K. M. Matthew,K.M.Matthew,"Matthew, Koyapililil Mathai",Matthew Koyapililil Mathai,S,,Matthew,Koyapililil Mathai
【空】,Maxim.,Maxim.,"Maximowicz, Carl Johann (Ivanovic)",Maximowicz Carl Johann (Ivanovic),BPS,,Maximowicz,Carl Johann (Ivanovic)
【空】,Maxon,Maxon,"Maxon, William Ralph",Maxon William Ralph,PS,,Maxon,William Ralph
【空】,Mayr,Mayr,"Mayr, Heinrich",Mayr Heinrich,MS,,Mayr,Heinrich
【空】,Mazel,Mazel,"Mazel, Eugène",Mazel Eugène,S,,Mazel,Eugène
【空】,D. C. McClint.,D.C.McClint.,"McClintock, David Charles",McClintock David Charles,S,,McClintock,David Charles
【空】,McClure,McClure,"McClure, Floyd Alonzo",McClure Floyd Alonzo,S,,McClure,Floyd Alonzo
【空】,McEwan,McEwan,,,,,,
【空】,McGr.,McGr.,,,,,,
【空】,McKean,McKean,"McKean, Douglas Ronald",McKean Douglas Ronald,S,,McKean,Douglas Ronald
【空】,McNeill,McNeill,"McNeill, John",McNeill John,S,,McNeill,John
【空】,McVaugh,McVaugh,"McVaugh, Rogers",McVaugh Rogers,S,,McVaugh,Rogers
【空】,Mesicek,Mesicek,"Mesicek, Joseph",Mesicek Joseph,S,,Mesicek,Joseph
【空】,Medik.,Medik.,"Medicus, Friedrich Casimir",Medicus Friedrich Casimir,S,,Medicus,Friedrich Casimir
【空】,Meerb.,Meerb.,"Meerburgh, Nicolaas",Meerburgh Nicolaas,S,,Meerburgh,Nicolaas
【空】,Meeuwen,Meeuwen,"Meeuwen, M. S. Knaap-van",Meeuwen M. S. Knaap-van,S,,Meeuwen,M. S. Knaap-van
【空】,Mehra,Mehra,"Mehra, Pran Nath",Mehra Pran Nath,BPS,,Mehra,Pran Nath
【空】,Meinsh.,Meinsh.,"Meinshausen, Karl Friedrich",Meinshausen Karl Friedrich,S,,Meinshausen,Karl Friedrich
【空】,Meisn.,Meisn.,"Meisner, Carl Daniel Friedrich",Meisner Carl Daniel Friedrich,S,,Meisner,Carl Daniel Friedrich
【空】,Meissner,Meissner,"Meissner, Carl Daniel Friedrich(ne Meisner)",Meissner Carl Daniel Friedrich(ne Meisner),,,Meissner,Carl Daniel Friedrich(ne Meisner)
【空】,Guss.,Guss.,"Gussone, Giovanni",Gussone Giovanni,PS,,Gussone,Giovanni
【空】,H. Boissieu,H.Boissieu,"Boissieu, Henri de",Boissieu Henri de,S,,Boissieu,Henri de
【空】,H. Chmelitschek,H.Chmelitschek,,,,,,
【空】,H. Christ,H.Christ,"Christ, Konrad Hernrich",Christ Konrad Hernrich,FPS,,Christ,Konrad Hernrich
,H. D. Wong,H.D.Wong,"Wong, H. D.",Wong H. D.,S,,Wong,H. D.
【空】,H. de Boiss.,H.deBoiss.,,,,,,
【空】,H. Gross,H.Gross,"Gross, Hugo",Gross Hugo,S,,Gross,Hugo
【空】,J. H. Hemsl.,J.H.Hemsl.,"Hemsley, James Hatton",Hemsley James Hatton,S,,Hemsley,James Hatton
【空】,H. Huber,H.Huber,"Huber, Heribert Franz Josef",Huber Heribert Franz Josef,S,,Huber,Heribert Franz Josef
【空】,H. Ikeda,H.Ikeda,,,,,,
【空】,H. Iketani,H.Iketani,,,,,,
【空】,H. Ito,H.Ito,"Ito,Hiroshi",Ito Hiroshi,PS,,Ito,Hiroshi
【空】,H. Koyama,H.Koyama,"Koyama, Hiroshige",Koyama Hiroshige,S,,Koyama,Hiroshige
【空】,H. M?ller,H.M?ller,"M?ller, Hjalmar August",M?ller Hjalmar August,BS,,M?ller,Hjalmar August
【空】,H. Mohr,H.Mohr,"Mohr, Hartmut",Mohr Hartmut,S,,Mohr,Hartmut
【空】,H. Nakagawa,H.Nakagawa,,,,,,
【空】,H. Nakai,H.Nakai,,,,,,
【空】,H. Neumayer,H.Neumayer,"Neumayer, Hans",Neumayer Hans,S,,Neumayer,Hans
【空】,H. Ohba,H.Ohba,"Ohba, Hideaki",Ohba Hideaki,PS,,Ohba,Hideaki
【空】,H. Pearson,H.Pearson,"Pearson, Henry Harold Welch",Pearson Henry Harold Welch,S,,Pearson,Henry Harold Welch
【空】,H. Rob.,H.Rob.,"Robinson, Harold Ernest",Robinson Harold Ernest,ABS,,Robinson,Harold Ernest
【空】,Harry Sm.,HarrySm.,"Smith, Karl August Harald ('Harry')",Smith Karl August Harald ('Harry'),S,,Smith,Karl August Harald ('Harry')
【空】,Hartm.,Hartm.,"Hartman, Carl Johan(n)",Hartman Carl Johan(n),ABPS,,Hartman,Carl Johan(n)
【空】,Hartog,Hartog,"Hartog, Cornelis den",Hartog Cornelis den,AS,,Hartog,Cornelis den
【空】,T. Hashim.,T.Hashim.,"Hashimoto, Tamotsu",Hashimoto Tamotsu,MS,,Hashimoto,Tamotsu
【空】,Hasselt,Hasselt,"Hasselt, Johan Coenraad van",Hasselt Johan Coenraad van,MS,,Hasselt,Johan Coenraad van
【空】,Hassk.,Hassk.,"Hasskart, Justus Carl",Hasskart Justus Carl,BPS,,Hasskart,Justus Carl
【空】,Hassl.,Hassl.,"Hassler, émile",Hassler émile,PS,,Hassler,émile
【空】,Hatan.,Hatan.,"Hatanaka, Shin-ichi",Hatanaka Shin-ichi,MPS,,Hatanaka,Shin-ichi
【空】,Hatsus.,Hatsus.,,,,,,
【空】,Hatus.,Hatus.,"Hatusima, Sumihiko",Hatusima Sumihiko,PS,,Hatusima,Sumihiko
【空】,Hausskn.,Hausskn.,"Haussknecht, Heinrich Carl",Haussknecht Heinrich Carl,PS,,Haussknecht,Heinrich Carl
【空】,Havil.,Havil.,"Haviland, George Darby",Haviland George Darby,S,,Haviland,George Darby
【空】,Haw.,Haw.,"Haworth, Adrian Haydy",Haworth Adrian Haydy,S,,Haworth,Adrian Haydy
【空】,Hawksw.,Hawksw.,"Hawksworth, Frank Goode",Hawksworth Frank Goode,S,,Hawksworth,Frank Goode
【空】,Hayek,Hayek,"Hayek, August von",Hayek August von,PS,,Hayek,August von
【空】,Hayne,Hayne,"Hayne, Friedrich Gottlob",Hayne Friedrich Gottlob,S,,Hayne,Friedrich Gottlob
【空】,Heyne（有两人同姓）,Heyne（有两人同姓）,,,,,,
【空】,Hedberg,Hedberg,"Hedberg, Karl Olov",Hedberg Karl Olov,S,,Hedberg,Karl Olov
【空】,Hedge,Hedge,"Hedge, Ian Charleson",Hedge Ian Charleson,S,,Hedge,Ian Charleson
【空】,Hedl.,Hedl.,"Hedllund, Johan Teodor",Hedllund Johan Teodor,MS,,Hedllund,Johan Teodor
【空】,Heer,Heer,"Heer, Oswald von",Heer Oswald von,ABFS,,Heer,Oswald von
【空】,Hegelm.,Hegelm.,"Hegelmaier, Christoph Friedrich",Hegelmaier Christoph Friedrich,S,,Hegelmaier,Christoph Friedrich
【空】,Hegetschw.,Hegetschw.,"Hegetschweiler, Johannes Jocob",Hegetschweiler Johannes Jocob,MS,,Hegetschweiler,Johannes Jocob
【空】,Hegi,Hegi,"Hegi, Gustav",Hegi Gustav,PS,,Hegi,Gustav
【空】,Heimerl,Heimerl,"Heimerl, Anton",Heimerl Anton,AP,,Heimerl,Anton
【空】,Heist.,Heist.,"Heister, Lorenz",Heister Lorenz,S,,Heister,Lorenz
【空】,Heldr.,Heldr.,"Heldreich, Theodor Heinrich Hermann von",Heldreich Theodor Heinrich Hermann von,S,,Heldreich,Theodor Heinrich Hermann von
【空】,Hemsl.,Hemsl.,"Hemsley, William Botting",Hemsley William Botting,APS,,Hemsley,William Botting
【空】,Hendrych,Hendrych,"Hendrych, Radovan",Hendrych Radovan,S,,Hendrych,Radovan
【空】,K. Sat?,K.Sat?,"Sat?, Kunihiko",Sat? Kunihiko,MPS,,Sat?,Kunihiko
【空】,K. Schum.,K.Schum.,"Schumann, Karl Moritz",Schumann Karl Moritz,ABPS,,Schumann,Karl Moritz
【空】,K. Ward,K.Ward,,,,,,
【空】,K. Yabe,K.Yabe,"Yabe, K.",Yabe K.,M,,Yabe,K.
【空】,K. Yamam.,K.Yamam.,,,,,,
,K. C. How（侯宽昭？）,K.C.How（侯宽昭？）,"How, K. C.",How K. C.,S,,How,K. C.
【空】,K. D. Koenig,K.D.Koenig,"Koenig, Karl Dietrich Ebehard",Koenig Karl Dietrich Ebehard,S,,Koenig,Karl Dietrich Ebehard
【空】,K. I. Mey.,K.I.Mey.,"Meyer, Konstantin Ignatevich",Meyer Konstantin Ignatevich,A,,Meyer,Konstantin Ignatevich
【空】,K. K. Shrestha,K.K.Shrestha,,,,,,
【空】,K. L. Zhang,K.L.Zhang,,,,,,
【空】,K. T. Adair,K.T.Adair,,,,,,
【空】,K. U. Kramer,K.U.Kramer,"Kramer, Karl Ulrich",Kramer Karl Ulrich,PS,,Kramer,Karl Ulrich
【空】,Loisel.,Loisel.,"Loiseleur-Deslongchamps, Jean Louis August(e)",Loiseleur-Deslongchamps Jean Louis August(e),APS,,Loiseleur-Deslongchamps,Jean Louis August(e)
【空】,Lomon.,Lomon.,"Lomonosova, Maria N.",Lomonosova Maria N.,S,,Lomonosova,Maria N.
【空】,Loret,Loret,"Loret, Henri",Loret Henri,S,,Loret,Henri
【空】,Losinsk.,Losinsk.,"Losina-Losinskaja, A.S.",Losina-Losinskaja A.S.,S,,Losina-Losinskaja,A.S.
【空】,Loudon,Loudon,"Loudon, John Claudius",Loudon John Claudius,PS,,Loudon,John Claudius
【空】,Lowe,Lowe,"Lowe, Richard Thomas",Lowe Richard Thomas,PS,,Lowe,Richard Thomas
【空】,Loyal,Loyal,"Loyal, D. S.",Loyal D. S.,P,,Loyal,D. S.
【空】,Ludlow,Ludlow,"Ludlow, Frank",Ludlow Frank,S,,Ludlow,Frank
【空】,Ludw.,Ludw.,"Ludwig, Christian Gouttlieb",Ludwig Christian Gouttlieb,ABPS,,Ludwig,Christian Gouttlieb
【空】,Lukmanoff,Lukmanoff,,,,,,
【空】,Lunell,Lunell,"Lunell, Cyrus Longworth",Lunell Cyrus Longworth,AS,,Lunell,Cyrus Longworth
【空】,Ly,Ly,"Ly, Tran Dinh",Ly Tran Dinh,S,,Ly,Tran Dinh
【空】,Lynch,Lynch,"Lynch, Richard Irwin",Lynch Richard Irwin,S,,Lynch,Richard Irwin
【空】,Lyons,Lyons,"Lyons, Israel",Lyons Israel,S,,Lyons,Israel
【空】,M. Bieb.,M.Bieb.,"Bieberstein, Friedrich August Marschall von",Bieberstein Friedrich August Marschall von,PS,,Bieberstein,Friedrich August Marschall von
【空】,M. Furuse,M.Furuse,"Furuse, M.",Furuse M.,S,,Furuse,M.
【空】,M. Hiroe,M.Hiroe,"Hiroe, Minosuke",Hiroe Minosuke,S,,Hiroe,Minosuke
【空】,M. Jacobs,M.Jacobs,"Jacobs, Marius",Jacobs Marius,S,,Jacobs,Marius
【空】,M. Kato,M.Kato,"Kato, Masahiro",Kato Masahiro,PS,,Kato,Masahiro
【空】,M. Kikuchi,M.Kikuchi,"Kikuchi, Masao",Kikuchi Masao,S,,Kikuchi,Masao
【空】,M. Martens,M.Martens,"Martens, Martin",Martens Martin,PS,,Martens,Martin
【空】,M. Pop.,M.Pop.,,,,,,
【空】,M. Roem.,M.Roem.,"Roemer, Max Joseph",Roemer Max Joseph,S,,Roemer,Max Joseph
【空】,M. Tsen,M.Tsen,,,,,,
【空】,M. Vilm.,M.Vilm.,"Vilmorin, (Auguste Louis) Maurice (Lévêque) de",Vilmorin (Auguste Louis) Maurice (Lévêque) de,S,,Vilmorin,(Auguste Louis) Maurice (Lévêque) de
【空】,Chodat,Chodat,"Chodat, Robert Hippolyte",Chodat Robert Hippolyte,AMS,,Chodat,Robert Hippolyte
【空】,Choisy,Choisy,"Choisy, Jacques Denys (Denis)",Choisy Jacques Denys (Denis),MS,,Choisy,Jacques Denys (Denis)
【空】,Chowdhuri,Chowdhuri,"Chowdhuri, Pramatha Kanta",Chowdhuri Pramatha Kanta,S,,Chowdhuri,Pramatha Kanta
【空】,Christ,Christ,"Christ, Konrad Hermann Heinrich",Christ Konrad Hermann Heinrich,FPS,,Christ,Konrad Hermann Heinrich
【空】,Christenson,Christenson,"Christenson, E. A.",Christenson E. A.,S,,Christenson,E. A.
【空】,Christm.,Christm.,"Christmann, Gottlieb Friedrich",Christmann Gottlieb Friedrich,PS,,Christmann,Gottlieb Friedrich
【空】,Chrshan.,Chrshan.,"Chrshanovski, Vladmir Gennadievich",Chrshanovski Vladmir Gennadievich,S,,Chrshanovski,Vladmir Gennadievich
【空】,Chrtek,Chrtek,"Chrtek, Jindrich",Chrtek Jindrich,S,,Chrtek,Jindrich
【空】,Cirillo,Cirillo,"Cirillo, Domenico Maria Leone",Cirillo Domenico Maria Leone,S,,Cirillo,Domenico Maria Leone
【空】,Clairv.,Clairv.,"Clairville, Joseph Philippe de",Clairville Joseph Philippe de,BPS,,Clairville,Joseph Philippe de
【空】,Clapham,Clapham,"Clapham, Abraham",Clapham Abraham,P,,Clapham,Abraham
【空】,Clapperton,Clapperton,"Clapperton, Bain Hugh",Clapperton Bain Hugh,S,,Clapperton,Bain Hugh
【空】,R. T. Clausen,R.T.Clausen,"Clausen, Robert Theodore",Clausen Robert Theodore,PS,,Clausen,Robert Theodore
【空】,Clayton,Clayton,"Clayton, William Derek",Clayton William Derek,S,,Clayton,William Derek
【空】,Clemants,Clemants,,,,,,
【空】,Clerc,Clerc,"Clerc, George Onésime",Clerc George Onésime,S,,Clerc,George Onésime
【空】,Clos,Clos,"Clos, Enrique C.",Clos Enrique C.,S,,Clos,Enrique C.
【空】,Cockerell,Cockerell,"Cockerell, Theodore Dru Alison",Cockerell Theodore Dru Alison,ABMPS,,Cockerell,Theodore Dru Alison
【空】,Codd,Codd,"Codd, Leslie Edward Wastell",Codd Leslie Edward Wastell,S,,Codd,Leslie Edward Wastell
【空】,Cogn.,Cogn.,"Cogniaux, Célestin Alfred",Cogniaux Célestin Alfred,BS,,Cogniaux,Célestin Alfred
【空】,Cohen-Stuart,Cohen-Stuart,"Cohen-Stuart, Combertus Pieter",Cohen-Stuart Combertus Pieter,S,,Cohen-Stuart,Combertus Pieter
【空】,Colebr.,Colebr.,"Colebrooke, Henry Thomas",Colebrooke Henry Thomas,S,,Colebrooke,Henry Thomas
【空】,Coll.,Coll.,,,,,,
【空】,Colla,Colla,"Colla, Luigi (Aloysius)",Colla Luigi (Aloysius),PS,,Colla,Luigi (Aloysius)
【空】,Fabr.,Fabr.,"Fabricius, Philipp Conrad",Fabricius Philipp Conrad,S,,Fabricius,Philipp Conrad
【空】,Faden,Faden,"Faden, Robert B.",Faden Robert B.,PS,,Faden,Robert B.
【空】,Falc.,Falc.,"Falconer, Hugh",Falconer Hugh,S,,Falconer,Hugh
【空】,Farille,Farille,"Farille, Michel A.",Farille Michel A.,S,,Farille,Michel A.
